food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description
1,Potato Chips,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Potato Chips is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
2,Nacho Chips,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Nacho Chips is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
3,Cheese Puffs,Snacks,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Cheese Puffs is a snacks item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
4,Salted Crackers,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Salted Crackers is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
5,Instant Noodles,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Noodles is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
6,Cup Noodles,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Cup Noodles is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
7,Frozen Pizza,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Pizza is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
8,Chicken Nuggets,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Chicken Nuggets is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
9,Fish Fingers,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Fish Fingers is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
10,French Fries (Frozen),Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,French Fries (Frozen) is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
11,Packaged Cookies,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Packaged Cookies is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
12,Chocolate Biscuits,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Chocolate Biscuits is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
