food_id,food_name,category,ingredient_order,ingredient_name,ingredient_type,reason_if_unhealthy,health_concern_tag,ingredient_note
1,FreshBite Spicy Pretzels Bites,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
1,FreshBite Spicy Pretzels Bites,Snacks,2,Spices,Neutral,,,Used for flavoring.
1,FreshBite Spicy Pretzels Bites,Snacks,3,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
1,FreshBite Spicy Pretzels Bites,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
1,FreshBite Spicy Pretzels Bites,Snacks,5,Potatoes,Neutral,,,Main starch base ingredient.
1,FreshBite Spicy Pretzels Bites,Snacks,6,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
2,UrbanMunch Classic Chips Crunch,Snacks,1,Spices,Neutral,,,Used for flavoring.
2,UrbanMunch Classic Chips Crunch,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
2,UrbanMunch Classic Chips Crunch,Snacks,3,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
2,UrbanMunch Classic Chips Crunch,Snacks,4,Corn,Neutral,,,Main grain base ingredient.
2,UrbanMunch Classic Chips Crunch,Snacks,5,Potatoes,Neutral,,,Main starch base ingredient.
2,UrbanMunch Classic Chips Crunch,Snacks,6,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
3,LiteLeaf Creamy Nachos Delight,Snacks,1,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
3,LiteLeaf Creamy Nachos Delight,Snacks,2,Potatoes,Neutral,,,Main starch base ingredient.
3,LiteLeaf Creamy Nachos Delight,Snacks,3,Spices,Neutral,,,Used for flavoring.
3,LiteLeaf Creamy Nachos Delight,Snacks,4,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
3,LiteLeaf Creamy Nachos Delight,Snacks,5,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
4,DailyCrave Mango Nachos Mix,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
4,DailyCrave Mango Nachos Mix,Snacks,2,Corn,Neutral,,,Main grain base ingredient.
4,DailyCrave Mango Nachos Mix,Snacks,3,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
4,DailyCrave Mango Nachos Mix,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
4,DailyCrave Mango Nachos Mix,Snacks,5,Spices,Neutral,,,Used for flavoring.
4,DailyCrave Mango Nachos Mix,Snacks,6,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
4,DailyCrave Mango Nachos Mix,Snacks,7,Potatoes,Neutral,,,Main starch base ingredient.
4,DailyCrave Mango Nachos Mix,Snacks,8,Processed Cheese,Unhealthy,Can increase sodium and saturated fat content.,Saturated fat/high sodium,
5,UrbanMunch Herb Chips Cup,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
5,UrbanMunch Herb Chips Cup,Snacks,2,Potatoes,Neutral,,,Main starch base ingredient.
5,UrbanMunch Herb Chips Cup,Snacks,3,Spices,Neutral,,,Used for flavoring.
5,UrbanMunch Herb Chips Cup,Snacks,4,Corn,Neutral,,,Main grain base ingredient.
5,UrbanMunch Herb Chips Cup,Snacks,5,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
5,UrbanMunch Herb Chips Cup,Snacks,6,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
5,UrbanMunch Herb Chips Cup,Snacks,7,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
5,UrbanMunch Herb Chips Cup,Snacks,8,Peanuts,Healthy,,,Provides protein and healthy fats.
5,UrbanMunch Herb Chips Cup,Snacks,9,Raising Agents,Neutral,,,Used in bakery formulations.
6,UrbanMunch Strawberry Nachos Lite,Snacks,1,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
6,UrbanMunch Strawberry Nachos Lite,Snacks,2,Corn,Neutral,,,Main grain base ingredient.
6,UrbanMunch Strawberry Nachos Lite,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
6,UrbanMunch Strawberry Nachos Lite,Snacks,4,Spices,Neutral,,,Used for flavoring.
6,UrbanMunch Strawberry Nachos Lite,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
7,SuperBowl Barbecue Puffs Plus,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
7,SuperBowl Barbecue Puffs Plus,Snacks,2,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
7,SuperBowl Barbecue Puffs Plus,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
7,SuperBowl Barbecue Puffs Plus,Snacks,4,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
7,SuperBowl Barbecue Puffs Plus,Snacks,5,Corn,Neutral,,,Main grain base ingredient.
8,FamilyChoice Vanilla Crackers Treat,Snacks,1,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
8,FamilyChoice Vanilla Crackers Treat,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
8,FamilyChoice Vanilla Crackers Treat,Snacks,3,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
8,FamilyChoice Vanilla Crackers Treat,Snacks,4,Spices,Neutral,,,Used for flavoring.
8,FamilyChoice Vanilla Crackers Treat,Snacks,5,Corn,Neutral,,,Main grain base ingredient.
8,FamilyChoice Vanilla Crackers Treat,Snacks,6,Potatoes,Neutral,,,Main starch base ingredient.
8,FamilyChoice Vanilla Crackers Treat,Snacks,7,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
9,QuickTreat Cheese Puffs Classic,Snacks,1,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
9,QuickTreat Cheese Puffs Classic,Snacks,2,Corn,Neutral,,,Main grain base ingredient.
9,QuickTreat Cheese Puffs Classic,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
9,QuickTreat Cheese Puffs Classic,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
9,QuickTreat Cheese Puffs Classic,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
9,QuickTreat Cheese Puffs Classic,Snacks,6,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
10,FunFoods Chocolate Nachos Max,Snacks,1,Corn,Neutral,,,Main grain base ingredient.
10,FunFoods Chocolate Nachos Max,Snacks,2,Spices,Neutral,,,Used for flavoring.
10,FunFoods Chocolate Nachos Max,Snacks,3,Potatoes,Neutral,,,Main starch base ingredient.
10,FunFoods Chocolate Nachos Max,Snacks,4,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
10,FunFoods Chocolate Nachos Max,Snacks,5,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
10,FunFoods Chocolate Nachos Max,Snacks,6,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
10,FunFoods Chocolate Nachos Max,Snacks,7,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
10,FunFoods Chocolate Nachos Max,Snacks,8,Preservatives,Unhealthy,Used to extend shelf life and indicates higher processing.,Preservatives,
10,FunFoods Chocolate Nachos Max,Snacks,9,Artificial Flavors,Unhealthy,Used for taste enhancement without nutritional value.,Artificial additives,
11,DailyCrave Masala Chips Bites,Snacks,1,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
11,DailyCrave Masala Chips Bites,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
11,DailyCrave Masala Chips Bites,Snacks,3,Corn,Neutral,,,Main grain base ingredient.
11,DailyCrave Masala Chips Bites,Snacks,4,Potatoes,Neutral,,,Main starch base ingredient.
11,DailyCrave Masala Chips Bites,Snacks,5,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
11,DailyCrave Masala Chips Bites,Snacks,6,Spices,Neutral,,,Used for flavoring.
12,PureSip Creamy Namkeen Crunch,Snacks,1,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
12,PureSip Creamy Namkeen Crunch,Snacks,2,Corn,Neutral,,,Main grain base ingredient.
12,PureSip Creamy Namkeen Crunch,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
12,PureSip Creamy Namkeen Crunch,Snacks,4,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially in fried processed foods.",Processed fat,
12,PureSip Creamy Namkeen Crunch,Snacks,5,Spices,Neutral,,,Used for flavoring.
12,PureSip Creamy Namkeen Crunch,Snacks,6,Potatoes,Neutral,,,Main starch base ingredient.
12,PureSip Creamy Namkeen Crunch,Snacks,7,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
12,PureSip Creamy Namkeen Crunch,Snacks,8,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
