food_id,food_name,category,ingredient_order,ingredient_name,ingredient_type,reason_if_unhealthy,health_concern_tag,ingredient_note
1,Potato Chips,Snacks,1,Potatoes or Corn Base,Neutral,,,Main starch base of the snack.
1,Potato Chips,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially when repeatedly heated during processing.",Processed fat,
1,Potato Chips,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
1,Potato Chips,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
1,Potato Chips,Snacks,5,Spices,Neutral,,,Used for flavoring.
1,Potato Chips,Snacks,6,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
2,Nacho Chips,Snacks,1,Potatoes or Corn Base,Neutral,,,Main starch base of the snack.
2,Nacho Chips,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially when repeatedly heated during processing.",Processed fat,
2,Nacho Chips,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
2,Nacho Chips,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
2,Nacho Chips,Snacks,5,Spices,Neutral,,,Used for flavoring.
2,Nacho Chips,Snacks,6,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
3,Cheese Puffs,Snacks,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
3,Cheese Puffs,Snacks,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
3,Cheese Puffs,Snacks,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
3,Cheese Puffs,Snacks,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
3,Cheese Puffs,Snacks,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
3,Cheese Puffs,Snacks,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
4,Salted Crackers,Snacks,1,Potatoes or Corn Base,Neutral,,,Main starch base of the snack.
4,Salted Crackers,Snacks,2,Vegetable Oil,Unhealthy,"Adds significant fat and calories, especially when repeatedly heated during processing.",Processed fat,
4,Salted Crackers,Snacks,3,Salt,Unhealthy,High sodium may increase blood pressure and fluid retention risk.,High sodium,
4,Salted Crackers,Snacks,4,Flavor Enhancers,Unhealthy,Can encourage overconsumption and often raise sodium load.,High sodium/additives,
4,Salted Crackers,Snacks,5,Spices,Neutral,,,Used for flavoring.
4,Salted Crackers,Snacks,6,Antioxidants,Neutral,,,Added to preserve shelf life of oils.
5,Instant Noodles,Ready Meals,1,Refined Wheat Flour,Unhealthy,Refined base with lower fiber and faster digestion.,Refined carb,
5,Instant Noodles,Ready Meals,2,Palm Oil,Unhealthy,"Common processed fat source, often raising saturated fat content.",Saturated fat,
5,Instant Noodles,Ready Meals,3,Salt,Unhealthy,Excess sodium may affect blood pressure and kidney health.,High sodium,
5,Instant Noodles,Ready Meals,4,Monosodium Glutamate,Unhealthy,May be a sensitivity trigger for some people and often comes with salty flavor profiles.,Additive sensitivity,
5,Instant Noodles,Ready Meals,5,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
5,Instant Noodles,Ready Meals,6,Spice Mix,Neutral,,,Used for taste and aroma.
6,Cup Noodles,Ready Meals,1,Refined Wheat Flour,Unhealthy,Refined base with lower fiber and faster digestion.,Refined carb,
6,Cup Noodles,Ready Meals,2,Palm Oil,Unhealthy,"Common processed fat source, often raising saturated fat content.",Saturated fat,
6,Cup Noodles,Ready Meals,3,Salt,Unhealthy,Excess sodium may affect blood pressure and kidney health.,High sodium,
6,Cup Noodles,Ready Meals,4,Monosodium Glutamate,Unhealthy,May be a sensitivity trigger for some people and often comes with salty flavor profiles.,Additive sensitivity,
6,Cup Noodles,Ready Meals,5,Dehydrated Vegetables,Healthy,,,Adds some micronutrients and flavor.
6,Cup Noodles,Ready Meals,6,Spice Mix,Neutral,,,Used for taste and aroma.
7,Frozen Pizza,Frozen Foods,1,Refined Flour or Breadcrumbs,Unhealthy,Processed coating/base with lower fiber.,Refined carb,
7,Frozen Pizza,Frozen Foods,2,Processed Cheese or Fat,Unhealthy,Can increase saturated fat and sodium.,Saturated fat/high sodium,
7,Frozen Pizza,Frozen Foods,3,Salt,Unhealthy,Raises sodium content substantially.,High sodium,
7,Frozen Pizza,Frozen Foods,4,Stabilizers,Neutral,,,Used to maintain texture.
7,Frozen Pizza,Frozen Foods,5,Protein Source,Healthy,,,"Provides protein, depending on product quality."
7,Frozen Pizza,Frozen Foods,6,Herbs and Seasonings,Neutral,,,Used for flavor.
8,Chicken Nuggets,Frozen Foods,1,Refined Flour or Breadcrumbs,Unhealthy,Processed coating/base with lower fiber.,Refined carb,
8,Chicken Nuggets,Frozen Foods,2,Processed Cheese or Fat,Unhealthy,Can increase saturated fat and sodium.,Saturated fat/high sodium,
8,Chicken Nuggets,Frozen Foods,3,Salt,Unhealthy,Raises sodium content substantially.,High sodium,
8,Chicken Nuggets,Frozen Foods,4,Stabilizers,Neutral,,,Used to maintain texture.
8,Chicken Nuggets,Frozen Foods,5,Protein Source,Healthy,,,"Provides protein, depending on product quality."
8,Chicken Nuggets,Frozen Foods,6,Herbs and Seasonings,Neutral,,,Used for flavor.
9,Fish Fingers,Frozen Foods,1,Refined Flour or Breadcrumbs,Unhealthy,Processed coating/base with lower fiber.,Refined carb,
9,Fish Fingers,Frozen Foods,2,Processed Cheese or Fat,Unhealthy,Can increase saturated fat and sodium.,Saturated fat/high sodium,
9,Fish Fingers,Frozen Foods,3,Salt,Unhealthy,Raises sodium content substantially.,High sodium,
9,Fish Fingers,Frozen Foods,4,Stabilizers,Neutral,,,Used to maintain texture.
9,Fish Fingers,Frozen Foods,5,Protein Source,Healthy,,,"Provides protein, depending on product quality."
9,Fish Fingers,Frozen Foods,6,Herbs and Seasonings,Neutral,,,Used for flavor.
10,French Fries (Frozen),Frozen Foods,1,Refined Flour or Breadcrumbs,Unhealthy,Processed coating/base with lower fiber.,Refined carb,
10,French Fries (Frozen),Frozen Foods,2,Processed Cheese or Fat,Unhealthy,Can increase saturated fat and sodium.,Saturated fat/high sodium,
10,French Fries (Frozen),Frozen Foods,3,Salt,Unhealthy,Raises sodium content substantially.,High sodium,
10,French Fries (Frozen),Frozen Foods,4,Stabilizers,Neutral,,,Used to maintain texture.
10,French Fries (Frozen),Frozen Foods,5,Protein Source,Healthy,,,"Provides protein, depending on product quality."
10,French Fries (Frozen),Frozen Foods,6,Herbs and Seasonings,Neutral,,,Used for flavor.
11,Packaged Cookies,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
11,Packaged Cookies,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
11,Packaged Cookies,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
11,Packaged Cookies,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
11,Packaged Cookies,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
11,Packaged Cookies,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
12,Chocolate Biscuits,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
12,Chocolate Biscuits,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
12,Chocolate Biscuits,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
12,Chocolate Biscuits,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
12,Chocolate Biscuits,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
12,Chocolate Biscuits,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
13,Cream Cookies,Bakery,1,Sugar,Unhealthy,High added sugar can spike blood glucose and increase calorie intake with low satiety.,High sugar,
13,Cream Cookies,Bakery,2,Glucose Syrup,Unhealthy,Rapidly absorbed sugar source that may raise blood sugar quickly.,High glycemic load,
13,Cream Cookies,Bakery,3,Refined Wheat Flour,Unhealthy,Low fiber and highly refined; may not support blood sugar control well.,Refined carb,
13,Cream Cookies,Bakery,4,Palm Oil,Unhealthy,High in saturated fat and commonly used in processed foods.,Saturated fat,
13,Cream Cookies,Bakery,5,Cocoa Powder,Neutral,,,Used for flavor; can be fine in moderate amounts.
13,Cream Cookies,Bakery,6,Soy Lecithin,Neutral,,,Emulsifier commonly used for texture and consistency.
14,Sweetened Breakfast Cereal,Breakfast,1,Whole Grain Oats or Grain Base,Healthy,,,Can contribute fiber and longer satiety if present in meaningful amounts.
14,Sweetened Breakfast Cereal,Breakfast,2,Sugar,Unhealthy,Raises added sugar content.,High sugar,
14,Sweetened Breakfast Cereal,Breakfast,3,Malt Extract or Syrup,Unhealthy,Concentrated sweetener that may raise glycemic load.,High glycemic load,
14,Sweetened Breakfast Cereal,Breakfast,4,Salt,Unhealthy,Packaged breakfast foods can still contain notable sodium.,High sodium,
14,Sweetened Breakfast Cereal,Breakfast,5,Fortified Vitamins,Healthy,,,Added micronutrients may improve nutritional profile.
14,Sweetened Breakfast Cereal,Breakfast,6,Flavoring,Neutral,,,Used for taste.
15,Chocolate Cereal,Breakfast,1,Whole Grain Oats or Grain Base,Healthy,,,Can contribute fiber and longer satiety if present in meaningful amounts.
15,Chocolate Cereal,Breakfast,2,Sugar,Unhealthy,Raises added sugar content.,High sugar,
15,Chocolate Cereal,Breakfast,3,Malt Extract or Syrup,Unhealthy,Concentrated sweetener that may raise glycemic load.,High glycemic load,
15,Chocolate Cereal,Breakfast,4,Salt,Unhealthy,Packaged breakfast foods can still contain notable sodium.,High sodium,
15,Chocolate Cereal,Breakfast,5,Fortified Vitamins,Healthy,,,Added micronutrients may improve nutritional profile.
15,Chocolate Cereal,Breakfast,6,Flavoring,Neutral,,,Used for taste.
16,Granola Bar,Breakfast,1,Whole Grain Oats or Grain Base,Healthy,,,Can contribute fiber and longer satiety if present in meaningful amounts.
16,Granola Bar,Breakfast,2,Sugar,Unhealthy,Raises added sugar content.,High sugar,
16,Granola Bar,Breakfast,3,Malt Extract or Syrup,Unhealthy,Concentrated sweetener that may raise glycemic load.,High glycemic load,
16,Granola Bar,Breakfast,4,Salt,Unhealthy,Packaged breakfast foods can still contain notable sodium.,High sodium,
16,Granola Bar,Breakfast,5,Fortified Vitamins,Healthy,,,Added micronutrients may improve nutritional profile.
16,Granola Bar,Breakfast,6,Flavoring,Neutral,,,Used for taste.
