food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description
1,FreshBite Spicy Pretzels Bites,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FreshBite Spicy Pretzels Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
2,UrbanMunch Classic Chips Crunch,Snacks,Ultra-processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,UrbanMunch Classic Chips Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
3,LiteLeaf Creamy Nachos Delight,Snacks,Processed,5,0,2,3,0.0,40.0,60.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,LiteLeaf Creamy Nachos Delight is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
4,DailyCrave Mango Nachos Mix,Snacks,Ultra-processed,8,0,4,4,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,DailyCrave Mango Nachos Mix is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
5,UrbanMunch Herb Chips Cup,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,UrbanMunch Herb Chips Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
6,UrbanMunch Strawberry Nachos Lite,Snacks,Ultra-processed,5,0,4,1,0.0,80.0,20.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Recommended,UrbanMunch Strawberry Nachos Lite is a snacks item with 20.0% of its listed ingredients marked as unhealthy in this expanded dataset.
7,SuperBowl Barbecue Puffs Plus,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SuperBowl Barbecue Puffs Plus is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
8,FamilyChoice Vanilla Crackers Treat,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FamilyChoice Vanilla Crackers Treat is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
9,QuickTreat Cheese Puffs Classic,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Cheese Puffs Classic is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
10,FunFoods Chocolate Nachos Max,Snacks,Processed,9,0,4,5,0.0,44.44,55.56,"Children (Hyperactivity), Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FunFoods Chocolate Nachos Max is a snacks item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
11,DailyCrave Masala Chips Bites,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,DailyCrave Masala Chips Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
12,PureSip Creamy Namkeen Crunch,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,PureSip Creamy Namkeen Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
13,SmartSnack Tomato Crackers Delight,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SmartSnack Tomato Crackers Delight is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,Ultra-processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,FlavorHub Chilli Lime Pretzels Mix is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
15,DailyCrave Classic Crackers Cup,Snacks,Processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,DailyCrave Classic Crackers Cup is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
16,NutriPick Butter Chips Lite,Snacks,Ultra-processed,8,0,5,3,0.0,62.5,37.5,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,NutriPick Butter Chips Lite is a snacks item with 37.5% of its listed ingredients marked as unhealthy in this expanded dataset.
17,SuperBowl Herb Puffs Plus,Snacks,Processed,8,0,4,4,0.0,50.0,50.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,SuperBowl Herb Puffs Plus is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
